Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Average_therapy_cost_2023,Age_Group_Range,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022,Market_Size_2023,Patient_Pool_2023
Dermatitis,"Redness, itching, inflammation, scaling, and thickened skin",Approximately 7.3% of the U.S. population is affected by eczema; psoriasis affects about 3.2%,0.16,0.159,0.158,0.157,0.156,353974117.6,350825882.4,347677647.1,344529411.8,341381176.5,Efficacy ranges around 7080% in clearing symptoms for moderate cases when used as directed,Generally considered safe for shortterm use; longterm use may lead to skin thinning and potential systemic absorption,"Common adverse events include local irritation, burning sensation, and dryness; rare events may include systemic effects such as adrenal suppression",Approved for use in adults and children; typically prescribed for ages 2 years and older,"No significant gender predisposition, affects all genders equally",Topical corticosteroid (mediumpotency),297.8735699,299.6396187,289.6230125,280.7734205,303.2352941,2 and older,16448567316,55219962.35,16504049378,55079663.53,15909880708,54933068.24,15380817523,54780176.47,16563011432,54620988.24
Diabetes Insipidus,"Excessive thirst (polydipsia), increased urination (polyuria), dehydration.","Approximately 1 in 25,000 individuals (about 0.004%).",0.075,0.074,0.073,0.072,0.071,263851428.6,261485714.3,259120000,256754285.7,254388571.4,8090% effective in managing symptoms in central diabetes insipidus.,Generally safe when used as prescribed; most patients tolerate it well.,"Headache, nausea, abdominal cramps, nasal congestion (if using intranasal form).",All ages; commonly prescribed for both children and adults.,No significant gender preference; affects males and females equally.,Small molecule (synthetic analog of vasopressin).,3346.898681,3366.741954,3254.195661,3154.761905,3407.142857,0 and older,62698963877,18733451.43,63385554575,18826971.43,61555584117,18915760,59939899324,18999817.14,65005365303,19079142.86
Diarrhea,"Increased frequency of bowel movements, loose or watery stools, abdominal cramps, urgency to defecate.",Approximately 5% of the U.S. population experiences acute diarrhea annually.,0.015,0.014,0.013,0.012,0.011,371320000,368028571.4,364737142.9,361445714.3,358154285.7,"Loperamide is highly effective for symptomatic relief of diarrhea, with studies showing an improvement in stool frequency in most patients.",Generally welltolerated; concerns exist with excessive use leading to serious complications.,"Constipation, abdominal pain, dizziness, fatigue; rare cases of toxic megacolon.",Approved for use in adults and children over 6 years; not recommended for children under 6 years without medical supervision.,No significant gender differences in usage or efficacy.,Small molecule.,78.58546169,79.0513834,76.40878701,74.07407407,80,6 and older,320983890,4084520,349118012.4,4416342.857,362298594.6,4741582.857,374832592.6,5060240,429785142.9,5372314.286
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties, and tender points.","Approximately 2% of the adult population in the USA, predominantly affecting women.",0.7,0.699,0.698,0.697,0.696,243882666.7,241733333.3,239584000,237434666.7,235285333.3,Studies suggest SAVELLA (milnacipran) can reduce pain and improve function in approximately 30% to 50% of patients.,"Generally well tolerated; common side effects include nausea, constipation, headache, dry mouth, and increased blood pressure.","Serious adverse events are rare but can include suicidal thoughts, seizures, and liver enzyme abnormalities.","Adults, typically ages 18 to 65.","Predominantly affects women, with a female to male ratio of approximately 7:1.","Small molecule (specifically a serotoninnorepinephrine reuptake inhibitor, SNRI).",5907.007204,5942.028986,5743.393824,5567.901235,6013.333333,1865,1.00267E+12,169742336,1.00116E+12,168488133.3,9.60466E+11,167229632,9.24087E+11,165966832,9.90394E+11,164699733.3
Homocystinuria,"Developmental delays, intellectual disability, cardiovascular disease, skeletal abnormalities, eye disorders (such as lens dislocation), and thrombosis.","Approximately 1 in 200,000 to 1 in 300,000 individuals in the USA.",0.064,0.063,0.062,0.061,0.06,240160000,238000000,235840000,233680000,231520000,"CYSTADANE (betaine anhydrous) is effective in lowering homocysteine levels in patients with homocystinuria, improving clinical outcomes.",Generally welltolerated; safety data indicate a low incidence of serious adverse effects when used as directed.,"Common adverse events include nausea, abdominal discomfort, and diarrhea.","Primarily prescribed for children and adults with homocystinuria, typically diagnosed in infancy or early childhood.",No specific gender predisposition; affects both males and females equally.,Small molecule (nutritional supplement that acts to lower homocysteine levels).,68762.27898,69169.96047,66857.68863,64814.81481,70000,017,9.90837E+11,14409600,1.00421E+12,14518000,9.77598E+11,14622080,9.54193E+11,14721840,1.03721E+12,14817280
Hypertensive Crisis,"Severe hypertension (high blood pressure), headaches, visual disturbances, palpitations, shortness of breath, chest pain, and signs of heart failure.",Hypertensive crisis affects approximately 12% of the adult population in the USA annually.,0.02,0.019,0.018,0.017,0.016,356640000,353500000,350360000,347220000,344080000,"Sodium nitroprusside is highly effective in rapidly lowering blood pressure, often within minutes, making it suitable for hypertensive emergencies.","Generally safe for acute use under medical supervision, but there are risks associated with prolonged infusion due to potential toxicity (cyanide toxicity).","Possible adverse events include hypotension (low blood pressure), headache, dizziness, reflex tachycardia, nausea, and, in rare cases, cyanide toxicity.","Primarily adults, although it can be used in pediatric populations under strict medical supervision.","Both genders are affected; however, hypertensive crises may be more prevalent in males due to higher rates of underlying risk factors.",Small molecules (nitroprusside is a nitric oxide donor).,2455.795678,2470.355731,2387.774594,2314.814815,2500,0 and older,14013359530,5706240,14845602765,6009500,15058452722,6306480,15271250001,6597180,17204000000,6881600
Hyperthyroidism,"Weight loss, increased appetite, rapid heartbeat, anxiety, tremors, sweating, menstrual changes, and heat intolerance",Approximately 1.2% of the US population,0.016,0.015,0.014,0.013,0.012,233050000,230970000,228890000,226810000,224730000,High efficacy in diagnosing and managing hyperthyroidism and related conditions,Generally safe when used as directed for diagnostic imaging,"Minor adverse events such as allergic reactions, transient hypothyroidism, or injection site reactions",Adolescents to older adults,"More common in females, with a femaletomale ratio of about 5:1",Radioactive iodine isotope (used in diagnostic imaging),3831.041257,3853.754941,3724.928367,3611.111111,3900,065,10713889979,2796600,11571323123,3002610,11936383955,3204460,12285541666,3402150,14023152000,3595680
Hypoalbuminemia,"Swelling (edema), fatigue, weakness, increased susceptibility to infections, and potential for fluid accumulation in the lungs (pulmonary edema).",Approximately 45% of hospitalized patients.,0.105,0.104,0.103,0.102,0.101,250800000,248600000,246400000,244200000,242000000,Generally effective in raising serum albumin levels and improving clinical outcomes in patients who are hypoalbuminemic.,Generally welltolerated; special caution is recommended in patients with a history of allergic reactions to albumin products.,"Potential for allergic reactions, fever, chills, headache, hypotension, and in rare cases, renal failure or thromboembolism.","Used in all age groups, but particularly in elderly patients and those with chronic conditions.",Both males and females are affected; no significant gender preference.,Biological product (human albumin solution).,20383.10413,20503.95257,19818.52913,19212.96296,20750,65 and older,5.1632E+11,25330800,5.19923E+11,25357200,5.02978E+11,25379200,4.87948E+11,25396800,5.27258E+11,25410000
Hypomagnesemia,"Muscle cramps, weakness, fatigue, irregular heart rhythms, nausea, vomiting, mental disturbances",Approximately 2% in the general population; higher in those with gastrointestinal diseases and certain chronic conditions,0.01057,0.00957,0.00857,0.00757,0.00657,406000000,402400000,398800000,395200000,391600000,Generally effective in replenishing magnesium levels; specific efficacy varies based on underlying cause of deficiency,"Welltolerated in most individuals; excessive amounts can lead to hypermagnesemia, especially in those with kidney impairment","Diarrhea, nausea, abdominal cramping, dizziness (more common with high doses)",All age groups; specific atrisk populations include older adults and those with chronic illnesses,No specific gender bias; effects are seen in all genders equally,Small molecule (mineral supplement),98.23182711,98.81422925,95.51098376,92.59259259,100,0 and older,262025540.3,2667420,301004743.1,3046168,326429417.4,3417716,350191111.1,3782064,413921200,4139212
Hypoparathyroidism,"Tingling or burning sensations in the fingers, muscle cramps, fatigue, and neck stiffness; severe cases may lead to seizures or cardiac issues.","Approximately 0.3 cases per 100,000 people in the USA; it is considered rare but can vary based on the population studied.",0.00113,0.00013,0.00087,0.00187,0.00287,240160000,238000000,235840000,233680000,231520000,"In clinical use, the efficacy of THYQUIDITY for managing symptom control in hypoparathyroidism is generally considered effective but varies among patients.",Welltolerated in the majority of patients; safety established through clinical trials and ongoing postmarket surveillance.,"Common adverse events may include hypercalcemia, gastrointestinal upset, or hypersensitivity reactions.","Primarily adults, though it can occur in children.","More common in females than males, with a femaletomale ratio of approximately 3:1.",Small molecule therapy (calcitriol and formulations aimed at managing calcium levels).,10068.76228,10128.4585,9789.875836,9490.740741,10250,017,6939987034,689259.2,4507771740,445060,2008694556,205180.8,288313518.5,30378.4,2681580400,261617.6
Hypophosphatemia,"Muscle weakness, bone pain, fatigue, respiratory failure, increased susceptibility to infections","Approximately 12% of the general population, more common in patients with malnutrition or chronic illnesses",0.01,0.009,0.008,0.007,0.006,406000000,402400000,398800000,395200000,391600000,Effective in correcting electrolyte imbalances; efficacy is high in acute settings for phosphate replacement,Generally safe when used as directed; monitoring is necessary to prevent hyperphosphatemia,"Possible adverse events include nausea, vomiting, diarrhea, and in rare cases, hypocalcemia or hyperphosphatemia","All age groups, most commonly used in adults",No significant gender predisposition; affects all genders equally,Electrolyte replacement therapy,1399.803536,1408.102767,1361.031519,1319.444444,1425,0 and older,3409921414,2436000,3966343874,2816800,4342234958,3190400,4692999998,3556800,5580300000,3916000
Lactose Intolerance,"Bloating, diarrhea, gas, cramping, nausea, abdominal pain",Approximately 3050 million people in the USA (about 1520% of the population) experience lactose intolerance,0.2,0.199,0.198,0.197,0.196,323080000,320200000,317320000,314440000,311560000,High; lactase supplements significantly improve digestion of lactose in affected individuals,Generally considered safe with minimal side effects when used as directed,Rare; may include gastrointestinal discomfort in some individuals if taken in excessive amounts,All age groups; more common in adolescents and adults,Both genders are equally affected,Enzymatic supplement (small molecules),196.4636542,197.6284585,191.0219675,185.1851852,200,0 and older,12440801570,63323680,12466284585,63079400,12001787964,62829360,11587696297,62573560,12462400000,62312000
Malignant Hyperthermia,"Muscle rigidity, rapid heart rate, elevated body temperature, metabolic acidosis, increased carbon dioxide production, confusion or agitation.","Approximately 1 in 100,000 general anesthesia cases, prevalence of MH susceptibility in the general population is estimated at 1 in 15,000 to 1 in 50,000.",0.1027,0.1017,0.1007,0.0997,0.0987,350720000,347600000,344480000,341360000,338240000,Dantrolene is effective in reversing the effects of malignant hyperthermia; studies indicate it can reduce mortality rates significantly when administered quickly.,"Generally safe when used appropriately; however, requires cautious use in patients with liver disease.","Potential adverse events include drowsiness, dizziness, weakness, confusion, diarrhea, and risk of liver toxicity with chronic use.",Primarily used in adults; may be prescribed in adolescents and children based on medical need.,No specific gender predisposition; affects all genders equally.,Small molecule.,3724.623445,3746.706192,3621.458134,3510.802469,3791.666667,017,1.28932E+11,34616064,1.29845E+11,34655720,1.25625E+11,34689136,1.21882E+11,34716312,1.31712E+11,34737248
Malnutrition,"Weight loss, muscle wasting, weakness, fatigue, impaired immune function","Approximately 12% of the general population, with higher rates in hospitalized patients (up to 40%)",0.105,0.104,0.103,0.102,0.101,321494545.5,318645454.5,315796363.6,312947272.7,310098181.8,"Generally effective in improving nutritional status, with good outcomes in patients with severe malnutrition",Generally considered safe when used as directed; monitoring required for electrolytes and metabolic status,"Possible complications include infections (from catheter use), metabolic imbalances (e.g., hyperglycemia), and liver dysfunction","All age groups, especially elderly and hospitalized individuals",No gender preference; used in both males and females,Parenteral nutrition solution (amino acid formulation),3466.329474,3486.880834,3370.318438,3267.336485,3528.723404,0 and older,1.12555E+11,32470949.09,1.1333E+11,32501836.36,1.09626E+11,32527025.45,1.0634E+11,32546516.36,1.14896E+11,32560309.09
Methemoglobinemia,"Cyanosis, fatigue, shortness of breath, dizziness, headache, increased heart rate","Approximately 1 in 50,000 to 1 in 100,000 live births in the USA",0.0015,0.0005,0.0005,0.0015,0.0025,240160000,238000000,235840000,233680000,231520000,"Methylene blue is generally effective, with response rates around 80% in acute cases",Generally considered safe when administered correctly; contraindicated in patients with G6PD deficiency,"Headache, dizziness, urine discoloration (blue/green), gastrointestinal disturbances",All age groups; most commonly seen in infants,Both genders equally affected,Small molecule injectable therapy,4543.222004,4570.158103,4417.382999,4282.407407,4625,017,2727750491,600400,1631546443,357000,520897803.2,117920,500356481.4,116840,1606170000,347280
Narcolepsy,"Excessive daytime sleepiness, cataplexy, sleep paralysis, hallucinations, disrupted nighttime sleep",Approximately 0.02% to 0.05% of the population in the USA,0.00755,0.00655,0.00555,0.00455,0.00355,268631578.9,266250526.3,263869473.7,261488421.1,259107368.4,Demonstrated to help reduce excessive daytime sleepiness in clinical trials  efficacy varies among individuals,Generally welltolerated; chronic usage may require monitoring for side effects,"Commonly reported adverse events include insomnia, anxiety, headache, and discomfort at the injection site",Typically prescribed for adults and adolescents over the age of 7,"Affects both genders equally, though studies show slightly higher prevalence in males",Small molecule (modafinil derivative),8401.406266,8451.216975,8168.702559,7919.103314,8552.631579,7 and older,8011934759,953642.1053,10238141403,1211439.895,11962865409,1464475.579,13563437532,1712749.158,16731176454,1956260.632
Nasal Congestion,"Stuffy or blocked nose, sinus pressure, runny nose, postnasal drip, sneezing",Approximately 20% of the US population experiences nasal congestion at least once per year,0.025,0.024,0.023,0.022,0.021,295440000,292800000,290160000,287520000,284880000,Generally effective for temporary relief of nasal congestion (7080% effective in reducing symptoms),Considered safe for shortterm use; longterm safety data is limited due to potential for misuse,"Commonly reported events include insomnia, nervousness, restlessness, and increased heart rate; serious adverse events are rare","Commonly used in all age groups, but specific caution is advised for children under 12 and individuals over 65",Equally effective in both genders,Small molecules (oral decongestant),139.1617551,139.9868248,135.307227,131.1728395,141.6666667,017,863392927.5,6204240,901739130.6,6441600,902997134.7,6673680,905155555.5,6900480,1008950000,7122000
Opioid Overdose,"Respiratory depression, loss of consciousness, pinpoint pupils, decreased heart rate, and potentially death","In 2021, approximately 100,000 fatal overdoses occurred in the USA, with opioid overdoses being a significant portion of this number; opioid misuse affects millions, with estimates indicating around 2 million individuals having an opioid use disorder.",0.035,0.034,0.033,0.032,0.031,247490000,245275000,243060000,240845000,238630000,Naloxone is highly effective in reversing opioid overdose when administered timely; studies show effective reversal in over 90% of cases with proper administration.,"Generally regarded as safe; naloxone has a favorable safety profile, with minimal side effects in cases of accidental administration in nonopioid users.","Symptoms may include opioid withdrawal in dependent individuals, such as agitation, nausea, vomiting, and rapid heart rate; however, serious adverse events are rare.","All age groups, particularly among individuals at high risk for opioid overdose, including young adults and older adults.","Affects all genders, with some studies indicating higher rates of opioid use disorder in males compared to females, but overdose rates have increased in both sexes.",Small molecules (specifically an opioid antagonist).,729.0643418,733.3868577,708.8705826,687.2106481,742.1875,0 and older,5593520153,7672190,5756206769,7848800,5685836766,8020980,5627382450,8188730,6198787109,8352050
Peptic Ulcer Disease,"Abdominal pain, bloating, indigestion, nausea, loss of appetite, weight loss.",Approximately 4.5 million adults in the USA experience peptic ulcers at some point in their lives.,0.077,0.076,0.075,0.074,0.073,252992000,250756000,248520000,246284000,244048000,Sucralfate is effective in healing ulcers with a healing rate of about 7090% over a treatment course of 48 weeks.,"Generally considered safe for shortterm use, with minimal systemic absorption.","Common adverse events include constipation (up to 2%) and minor gastrointestinal discomfort. Rarely, hypersensitivity reactions may occur.","Primarily affects adults, typically age 30 and older.","More common in men, but women are also significantly affected; overall incidence is increasing in postmenopausal women.","Small molecule drug, specifically a gastroprotective agent.",529.2239686,532.3616601,514.565425,498.8425926,538.75,30 and older,9773928409,18468416,9878473153,18555944,9590984957,18639000,9337128130,18717584,10124026220,18791696
Phenylketonuria (PKU),"Intellectual disability, behavioral problems, seizures, skin rashes, and musty odor in breath or urine due to accumulation of phenylalanine","Approximately 1 in 10,000 to 15,000 newborns in the USA",0.2,0.199,0.198,0.197,0.196,287578181.8,285021818.2,282465454.5,279909090.9,277352727.3,Improved blood phenylalanine levels in about 6080% of treated individuals,Generally considered safe; main concerns are dietary adherence and potential for phenylalanine increases,"Mild headaches, gastrointestinal disturbances, and allergic reactions","All ages, particularly newborns for initial screening and treatment",No significant gender predilection; affected equally,Small molecule (amino acid derivative),98656.01,99240.92706,95923.41756,92992.42424,100431.8182,0 and older,5.56078E+12,56365323.64,5.57231E+12,56149298.18,5.36482E+12,55928160,5.17986E+12,55701909.09,5.57101E+12,55470545.45
Pyruvate Kinase Deficiency,"Fatigue, jaundice, anemia, pale skin, shortness of breath, rapid heart rate, dark urine, enlarged spleen","Approximately 1 in 100,000 individuals in the USA; more common in specific ethnic groups (e.g., people of Mediterranean, Middle Eastern, and African descent)",0.2,0.199,0.198,0.197,0.196,312720000,309960000,307200000,304440000,301680000,Clinical trials demonstrate a significant increase in hemoglobin levels and a reduction in transfusion requirements for patients with pyruvate kinase deficiency,Generally welltolerated; longterm safety data is still being compiled as it is a newer therapy,"Most common adverse events include headache, diarrhea, nausea, and fatigue","Primarily adults, but can also be diagnosed in children; ages 1865 years commonly affected",Affects both males and females equally,Small molecule (PYRUKYND is specifically a PK activator),190324.165,191452.5692,185052.531,179398.1481,193750,1865,1.16656E+13,61293120,1.16905E+13,61062120,1.12559E+13,60825600,1.08686E+13,60583560,1.16901E+13,60336000
Rabies,"Fever, headache, confusion, agitation, paralysis, hydrophobia, hallucinations, seizures, and eventually coma or death.","Rabies is reported in about 1 to 3 cases annually in the USA, with higher incidence in certain animals.",0,0.001,0.002,0.003,0.004,406000000,402400000,398800000,395200000,391600000,Highly effective when administered postexposure before symptoms develop.,"Generally safe when used appropriately; however, allergic reactions can occur.","Localized pain at the injection site, fever, headache, allergic reactions.",All age groups (most common in children due to higher exposure risks).,No significant gender predilection.,Monoclonal antibodies (immunoglobulins for postexposure treatment).,2996.070727,3013.833992,2913.085005,2824.074074,3050,0 and older,4865618861,1624000,3638300395,1207200,2323476600,797600,1116074074,395200,0,0
Scurvy,"Fatigue, swollen and bleeding gums, joint pain, anemia, skin issues (including rash and bruising), and poor wound healing.","Approximately 0.1% of the U.S. population is estimated to be affected by scurvy, with higher prevalence in certain groups, such as those with limited access to fresh fruits and vegetables.",0.015,0.014,0.013,0.012,0.011,406000000,402400000,398800000,395200000,391600000,"High efficacy in alleviating symptoms of scurvy, with improvement typically seen within days of administration.",Generally safe with low risk of toxicity; excess in very high doses may cause gastrointestinal disturbances.,"Rare; potential for diarrhea, nausea, and abdominal cramps in sensitive individuals.","All age groups, but especially observed in adults and the elderly who may not have adequate diets.",Both genders are equally affected by vitamin C deficiency.,Vitamin supplement (nutritional supplement).,67.53438114,67.93478261,65.66380134,63.65740741,68.75,0 and older,301608546.2,4466000,328043478.3,4828800,340427411.7,5184400,352203703.7,5532800,403837500,5874000
Septic Shock,"Low blood pressure, rapid heart rate, confusion, fever, shortness of breath, decreased urine output","Approximately 13 cases per 1,000 hospital admissions in the USA",0.7,0.699,0.698,0.697,0.696,406000000,402400000,398800000,395200000,391600000,"GIAPREZA has been shown to improve blood pressure in patients with septic or neurogenic shock, with certain studies indicating a significant increase in mean arterial pressure","Generally considered safe; however, blood pressure should be closely monitored during administration","Hypotension, elevated blood pressure, tachycardia, and arrhythmias are noted adverse events","Primarily adults, but can be used in pediatric populations with careful monitoring",No gender preference; affects both males and females equally,Small molecule (angiotensin II infusion),171905.6974,172924.9012,167144.2216,162037.037,175000,0 and older,4.85764E+13,282576000,4.85007E+13,280472800,4.65267E+13,278362400,4.47619E+13,276244800,4.7971E+13,274120000
