Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Annual_therapy_Cost_2023,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Annual_Therapy_Costs,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022
Allergic Asthma,"Shortness of breath, wheezing, coughing, chest tightness, and difficulty sleeping due to breathing problems.","Approximately 510% of the Swiss population has asthma, with allergic asthma being a significant subset.",0.075,0.07499,0.07498,0.07497,0.07496,375,368.3693517,370.5533597,358.1661891,347.2222222,"Estimated annual costs for Xolair treatment are around CHF 10,000 to CHF 15,000.","Quality of life can be significantly impaired due to frequent asthma attacks, reduced physical activity, and reliance on medication.",10.2,0.01,Xolair (omalizumab) has shown approximately 3050% reduction in asthma exacerbations in patients with allergic asthma.,"Generally welltolerated; however, individual responses may vary.","Possible adverse events include injection site reactions, headaches, fatigue, and increased risk of infections.",Typically prescribed for patients aged 6 years and older.,"Affects both males and females, but some studies suggest a slightly higher prevalence in males during childhood.",Monoclonal antibody.,353974117.6,350825882.4,347677647.1,344529411.8,341381176.5,9774275487,26533899.86,9746078213,26301416.4,9336987815,26068869.98,8970923816,25836260.59
Allergic Rhinitis (Hay Fever),"Sneezing, nasal congestion, runny nose, itchy eyes, throat irritation",1520% of the Swiss population,0.175,0.17499,0.17498,0.17497,0.17496,25008,24565.81532,24711.46245,23885.38682,23155.55556,Approximately CHF 600800 depending on frequency of injections and health insurance coverage,"Significantly impacted during pollen seasons, leading to reduced productivity and social engagement",0.3,0,"High efficacy in reducing symptoms, especially during peak pollen seasons, with up to 80% symptom relief reported in clinical studies",Generally considered safe with a favorable safety profile when used as directed,"Localized reactions at the injection site, systemic allergic reactions (rare), fatigue, headache",Adults and children over 5 years,Both male and female,Allergen immunotherapy (injection),263851428.6,261485714.3,259120000,256754285.7,254388571.4,1.13404E+12,46163445.95,1.1306E+12,45752155.43,1.08298E+12,45340817.6,1.04037E+12,44929432.45
Alopecia Areata,"Patchy hair loss, potential total loss of hair (alopecia totalis), and in some cases, complete loss of body hair (alopecia universalis).",Approximately 0.2% to 0.5% of the population in Italy.,0.0035,0.00349,0.00348,0.00347,0.00346,225,221.021611,222.3320158,214.8997135,208.3333333,"Approximately 500 to 1,000 depending on the treatment regimen.","Can significantly affect quality of life due to psychological distress, social stigma, and impact on selfesteem.",0.15,0,Around 60%70% of patients experience hair regrowth with appropriate treatment.,Generally considered safe with low incidence of severe adverse effects.,"Common adverse events include local irritation, itching, and redness at the application site.","Primarily affects individuals aged 2040 years, but can occur at any age.",Affects both males and females equally.,Topical immunotherapy (small molecules).,371320000,368028571.4,364737142.9,361445714.3,358154285.7,283961316.3,1284767.2,283931133.5,1277059.143,272769038.1,1269285.257,262801154.8,1261445.543
Alpha1 Antitrypsin Deficiency,"Shortness of breath, wheezing, chronic cough, fatigue, lung infections, liver problems.","Approximately 1 in 2,500 to 3,500 births in Switzerland (0.03%  0.04% prevalence).",0.00031,0.0003,0.00029,0.00028,0.00027,2000,1964.636542,1976.284585,1910.219675,1851.851852,"Approximately CHF 40,000 to CHF 60,000 depending on therapy frequency and patient response.","Reduced quality of life due to respiratory issues and potential liver disease, impacting physical activity and social interactions.",0.25,0.04,"Clinical studies have shown Glassia can effectively increase serum levels of alpha1 antitrypsin, leading to slowed progression of lung damage.",Generally welltolerated; safety profile consistent with other IV therapies used in similar conditions.,"Possible adverse events include infusion reactions, fever, and allergic reactions; less common serious events are thromboembolism.","Primarily adults, but may also be used in children; typically diagnosed in early adulthood.","Affects both males and females; however, males may have a higher prevalence of severe lung disease.",Replacement therapy (Human Alpha1 Proteinase Inhibitor).,243882666.7,241733333.3,239584000,237434666.7,235285333.3,129368015.7,65848.32001,133765480.9,67685.33332,132720840.5,69479.36,131908148.2,71230.40001
Alzheimer's Disease,"Memory loss, confusion, difficulty with language and communication, disorientation, changes in mood and behavior","Approximately 0.5% of the population aged 6574, 5% aged 7584, and over 30% in those aged 85 and older in Switzerland",0.003,0.00299,0.00298,0.00297,0.00296,350,343.8113949,345.8498024,334.2884432,324.0740741,"CHF 1,000  CHF 3,000 depending on dosage and prescription specifics",Quality of life declines progressively with disease advancement; caregivers often face significant stress and burden,0.8,0.2,Mild to moderate efficacy in slowing cognitive decline in mild to moderate Alzheimer's; effects can vary,"Generally well tolerated, though some patients may experience side effects","Nausea, diarrhea, insomnia, fatigue, muscle cramps, and bradycardia",Primarily adults aged 65 and older,"More common in females, with a ratio of approximately 2:1 compared to males",Small molecule (acetylcholinesterase inhibitor),240160000,238000000,235840000,233680000,231520000,244406444,710873.6,244467391.3,706860,234938987.6,702803.2,226431592.6,698703.2
Amyloidosis,"Fatigue, weight loss, swelling in the legs and ankles, shortness of breath, numbness, and pain in the hands and feet, irregular heart rhythms.","Approximately 0.5 to 1.5 cases per 100,000 people annually in the USA.",0.00001,0,0.00001,0.00002,0.00003,8000,7858.546169,7905.13834,7640.878701,7407.407407,"Estimated at $100,000 to $200,000 depending on treatment regimen and healthcare coverage.","Patients often experience significantly reduced quality of life due to fatigue, pain, and multiple organ dysfunction.",20.3,406.05,"Clinical studies have shown ELREXFIO to be effective in reducing amyloidrelated symptoms and improving functional status, with efficacy rates of approximately 5570%.","Generally welltolerated, but monitoring for infusion reactions is recommended; safety profile shows common tolerance in most patients.","Possible adverse events include infusion reactions, fatigue, dizziness, anemia, and gastrointestinal symptoms.","Most commonly prescribed for adults, particularly aged 50 and older.","Affects both genders, but there is a slightly higher prevalence in men.",Monoclonal antibody therapy.,356640000,353500000,350360000,347220000,344080000,84080157.17,10699.2,55889328.06,7070,26770582.62,3503.6,39770582.82,3503.6
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty speaking, difficulty swallowing, muscle cramps, and eventually respiratory failure.","Approximately 3.2 per 100,000 people in Switzerland.",0.000032,0.000022,0.000012,0.000002,0.000008,6000,5893.909627,5928.853755,5730.659026,5555.555556,"Approximately CHF 6,000 to CHF 9,000.","Significantly impacted, with a decline in physical functioning, social participation, and emotional wellbeing.",1,257.05,Rilutek (Riluzole) extends survival and time to tracheostomy by approximately 23 months on average in some studies.,"Generally welltolerated, but monitoring is advised due to potential liver enzyme elevation.","Common adverse events include nausea, fatigue, and liver function abnormalities; serious adverse events occur infrequently.","Primarily adults aged 4070 years, with a peak incidence in the 50s.",More common in men than women (ratio approximately 1.5:1).,Small molecule (glutamate inhibitor).,233050000,230970000,228890000,226810000,224730000,10988605.11,1864.4,2738774.704,461.94,15740286.53,2746.68,27721222.22,4989.82
Anal Fissures,"Severe pain during bowel movements, bleeding from the rectum, itching around the anal area.",Approximately 1 in 200 individuals experience anal fissures in the USA annually.,0.005,0.00499,0.00498,0.00497,0.00496,250,245.5795678,247.0355731,238.7774594,231.4814815,Estimated between $200 to $500 depending on insurance coverage and frequency of usage.,"Can significantly impair quality of life due to pain and discomfort, leading to avoidance of bowel movements.",0.25,0,Approximately 5070% success rate in healing fissures with proper treatment.,Generally well tolerated; considered safe for topical application.,"Possible local irritation, burning, or itching at the site of application.","Primarily affects adults, but can occur in children.","Affects both males and females equally, although may be more common in women postpartum.","Topical ointment (local analgesic), specifically a compound that includes lidocaine.",250800000,248600000,246400000,244200000,242000000,305493123.8,1243968,305222826.1,1235542,292997134.7,1227072,282073611.1,1218558
Anaphylaxis,"Sudden onset of difficulty breathing, swelling of the throat, hives, rapid heartbeat, low blood pressure, and gastrointestinal symptoms like nausea or vomiting.",Approximately 12% of the Swiss population experiences anaphylaxis at some point in their lives.,0.015,0.01499,0.01498,0.01497,0.01496,17500,17190.56974,17292.49012,16714.42216,16203.7037,"Approximately CHF 200300 per year, depending on the number of pens needed and patient insurance.","Patients with a history of anaphylaxis may experience anxiety, fear of exposure to allergens, and limitations on activities, impacting their overall quality of life.",0.2,0.22,"Emerade is highly effective when administered quickly during an anaphylactic reaction, significantly improving the chances of survival.","Generally safe when used as prescribed, but requires proper training on usage to ensure efficacy.","Common adverse events include injection site reactions, such as pain, swelling, and redness. Rarely, patients may experience increased heart rate or anxiety as side effects.","Approved for use in all age groups, with specific considerations for dosage in children under 30 kg.",No specific gender differences in effectiveness; both males and females are at risk of anaphylaxis.,Autoinjector device containing epinephrine (small molecule).,406000000,402400000,398800000,395200000,391600000,1.04411E+11,6073760,1.04169E+11,6023928,99852359121,5974024,95991518519,5924048
Ankylosing Spondylitis,"Chronic pain and stiffness in the lower back and hips, especially in the morning; fatigue; inflammation of the spinal joints.",Approximately 0.2% of the Swiss population.,0.002,0.00199,0.00198,0.00197,0.00196,75,73.67387033,74.11067194,71.63323782,69.44444444,"Approximately CHF 12,000  15,000.",Significantly impacted due to chronic pain and limitations in physical activities.,0.4,0.01,High efficacy in reducing pain and improving function in approximately 6070% of patients after several weeks of treatment.,"Generally safe when monitored, but requires regular evaluation for side effects and longterm impact.","Potential events include injection site reactions, gastrointestinal issues, and rare cases of serious infections.",Primarily adults aged 2040 years.,More common in males (ratio approximately 3:1 compared to females).,Monoclonal antibody (biologic therapy).,240160000,238000000,235840000,233680000,231520000,34679292.73,470713.6,34747529.64,468860,33450085.96,466963.2,32293277.78,465023.2
Anorexia Nervosa,"Severe restriction of food intake, intense fear of gaining weight, distorted body image, significant weight loss, physical complications (such as electrolyte imbalances)",Approximately 0.3% to 1% in women and 0.1% in men in Italy,0.0055,0.00549,0.00548,0.00547,0.00546,2250,2210.21611,2223.320158,2148.997135,2083.333333,"Average annual cost of therapy can range from 6,000 to 15,000, depending on the treatment regimen and care required",Significantly impaired due to malnutrition and psychological aspects; quality of life scores can be very low,0.5,5.1,Studies indicate improvement in symptoms in 4060% of patients with appropriate therapy,"Generally welltolerated; however, careful monitoring is required due to potential heart and electrolyte complications","Nausea, diarrhea, headache, insomnia, and potential cardiac complications","Primarily affects adolescents and young adults, typically ages 1225","More prevalent in females, with a femaletomale ratio of approximately 10:1",Antidepressant / psychotropic medication (small molecules),406000000,402400000,398800000,395200000,391600000,4899518664,2216760,4893812253,2201128,4696469914,2185424,4520100000,2169648
Anxiety Disorders,"Excessive worry, restlessness, fatigue, irritability, muscle tension, sleep disturbances",Approximately 10% of the Swiss population experiences anxiety disorders at some point in their lives.,0.1,0.09999,0.09998,0.09997,0.09996,50000,49115.91356,49407.11462,47755.49188,46296.2963,Approximately CHF 250500 depending on dosage and duration of treatment.,"Anxiety disorders can significantly impact quality of life, leading to difficulties in work, relationships, and daily activities.",0.3,0.01,"Clorazepate has been shown to be effective for the shortterm management of anxiety, with a response rate of around 6070%.","Generally considered safe when used as prescribed, but risks increase with longterm use and misuse.","Drowsiness, dizziness, headache, confusion, dependency, withdrawal symptoms if discontinued abruptly.","Primarily adults, but may also be prescribed to adolescents under medical supervision.","More commonly prescribed to women, but both genders can be affected by anxiety disorders.",Small molecules (benzodiazepine derivative).,323080000,320200000,317320000,314440000,311560000,1.5862E+12,32295076.8,1.58154E+12,32010394,1.51507E+12,31725653.6,1.4556E+12,31440855.6
Aplastic Anemia,"Fatigue, weakness, increased susceptibility to infections, easy bruising or bleeding, and shortness of breath.",Approximately 12 cases per 1 million individuals per year in Switzerland.,0.0000015,0.0000085,0.0000185,0.0000285,0.0000385,450,442.043222,444.6640316,429.7994269,416.6666667,"Approximately CHF 20,000  30,000, depending on dosage and therapy regimen.",Quality of life can be severely affected due to symptoms and frequent medical interventions; patients often experience fatigue and social isolation.,0.3,5.1,"Moderately effective in improving bone marrow function; response rates vary, with about 5080% of patients showing clinical improvement.","Generally considered safe, but monitoring is required due to potential side effects; longterm therapy may require adjustments.","Common adverse events include gastrointestinal disturbances, allergic reactions, and risks of infections due to immunosuppression.",Primarily affects adults aged 2050 years and can occur in children.,No significant gender predisposition; affects males and females equally.,Small molecules (immunosuppressants).,350720000,347600000,344480000,341360000,338240000,5968785.855,13502.72,4405108.696,9906.6,2739060.172,6372.88,1208983.333,2901.56
Bacterial Vaginosis,"Vaginal discharge, odor, itching, irritation",Approximately 16% of women in Switzerland experience bacterial vaginosis at some point in their lives,0.16,0.15999,0.15998,0.15997,0.15996,1850,1817.288802,1828.063241,1766.9532,1712.962963,Approximately CHF 150300,Moderate impact due to discomfort and social stigma associated with symptoms,0.25,0,8090% in reducing symptoms and restoring normal flora,Generally considered safe; minimal systemic absorption,"Local irritation, burning sensation, allergic reactions","Adult women, typically ages 1845",Female,Local therapeutic gel (vaginal delivery),321494545.5,318645454.5,315796363.6,312947272.7,310098181.8,93456380031,51426267.5,93183171649,50973713.36,89268423267,50521102.25,85765373328,50068434.16
Basal Cell Carcinoma,"Lesions on the skin that may appear as open sores, red patches, shiny bumps, or scars; typically slowgrowing.","Basal cell carcinoma is the most common skin cancer in Switzerland, with an incidence rate of approximately 3050 cases per 100,000 people annually.",0.0004,0.00039,0.00038,0.00037,0.00036,150,147.3477407,148.2213439,143.2664756,138.8888889,"Estimated annual costs for Odomzo treatment in Switzerland amount to approximately CHF 10,000 to CHF 15,000 depending on dosage and additional treatments needed.","Generally high, though it can be significantly affected by the aesthetic and psychological impacts of skin lesions.",0.25,0.01,Clinical studies show a response rate of about 6080% in patients treated with Odomzo (sonidegib) for advanced basal cell carcinoma.,"Generally welltolerated, but requires monitoring for potential side effects.","Common adverse events include muscle spasms (55%), alopecia (30%), and diarrhea (20%).","Primarily adults aged 40 and above, with a higher incidence in older populations.","More common in males than females, with a ratio of about 2:1.",Small molecule (hedgehog pathway inhibitor).,240160000,238000000,235840000,233680000,231520000,12739332.02,86457.6,13052371.54,88060,12839426.93,89619.2,12657666.67,91135.2
Bipolar Disorder,"Episodes of mania, hypomania, and depression; mood swings; irritability; changes in sleep patterns; difficulty concentrating",Approximately 12% of the population in Switzerland,0.015,0.01499,0.01498,0.01497,0.01496,150000,147347.7407,148221.3439,143266.4756,138888.8889,"Approximately CHF 1,500  CHF 2,500 depending on dosage and monitoring needs","Patients may experience significant disruptions in their personal and professional lives due to mood instability, but effective treatment can greatly improve quality of life.",0.3,0.12,Approximately 7080% effective in preventing manic and depressive episodes when used as directed,Generally considered safe when monitored; regular blood level checks are crucial to avoid toxicity,"Common adverse events include gastrointestinal symptoms (nausea, diarrhea), tremors, weight gain, and potential renal effects with longterm use","Typically used in adults, but can be prescribed to adolescents with careful monitoring","Affects both genders equally, but women may experience changes related to menstruation or pregnancy",Small molecules (Lithium carbonate),268631578.9,266250526.3,263869473.7,261488421.1,259107368.4,5.92151E+11,4018728.42,5.90776E+11,3985770.379,5.66299E+11,3952764.716,5.44404E+11,3919711.432
Bladder Cancer,"Blood in urine, frequent urination, pain during urination, pelvic pain, unexplained weight loss.","Approximately 30 cases per 100,000 people per year in Switzerland.",0.0003,0.00029,0.00028,0.00027,0.00026,2100,2062.868369,2075.098814,2005.730659,1944.444444,"CHF 8,000  CHF 12,000 for intravesical therapy regimen.","Significantly impacted due to frequent hospital visits, symptom burden, and anxiety related to cancer diagnosis.",0.4,1.55,70% response rate in superficial bladder cancer for intravesical therapy.,"Generally welltolerated; however, some patients may experience localized irritation.","Hematuria, bladder pain, dysuria, fatigue; most are mild and transient.","Primarily adults aged 50 and older, with a higher incidence in those over 70.","More common in men than women, with a ratio of approximately 3:1.","Intravesical therapy, specifically a small molecule solution.",295440000,292800000,290160000,287520000,284880000,158457996.1,76814.4,164049011.9,79056,162955186.2,81244.8,162129333.3,83380.8
Burns,"Redness, pain, swelling, blistering, and possibly peeling skin in the affected area.","Approximately 1.1 million cases of burn injuries occur annually in the USA, with varying severity.",0.05,0.04999,0.04998,0.04997,0.04996,4000,3929.273084,3952.56917,3820.439351,3703.703704,"Approximately $200$500, depending on frequency of use and the size of the affected area.","Patients may experience significant discomfort, psychological distress, and limitations in daily activities, leading to a reduced quality of life.",7.1,0.03,Generally effective in providing pain relief and promoting healing of minor burns and skin irritations.,"Considered safe when used as directed; however, caution is advised for individuals with known sensitivities.","Rare; potential skin irritation, allergies for some individuals.","Suitable for all age groups, with special considerations for very young children and elderly patients.",No specific gender preference; affects all genders equally.,Topical analgesic and skin protectant.,247490000,245275000,243060000,240845000,238630000,48583891552,12364600.4,48444236166,12256391.75,46411227507,12148138.8,44592005741,12039841.55
Cancer,"Symptoms vary by cancer type but may include unexplained weight loss, fatigue, pain, changes in appetite, and lumps or swelling.","Approximately 40% of Swiss citizens will be diagnosed with cancer at some point in their lives, with an annual incidence of around 38,000 new cases.",0.4,0.39999,0.39998,0.39997,0.39996,750,736.7387033,741.1067194,716.3323782,694.4444444,"The annual therapy costs can vary widely, but average costs for a course of treatment can range from CHF 15,000 to CHF 25,000 depending on the regimen and healthcare setting.","Quality of life is significantly affected during cancer treatment, often leading to fatigue, emotional distress, and physical limitations. Many patients report a decrease in quality of life during treatment.",0.6,0.25,"Cisplatin is considered to have a high efficacy for certain cancers, particularly germ cell tumors, testicular cancer, and lung cancer, with response rates ranging from 60% to 90% in specific cases.","Cisplatin has a known safety profile but requires careful monitoring due to its potential toxicity, particularly nephrotoxicity and ototoxicity.","Common adverse events include nausea, vomiting, renal toxicity, hearing loss, electrolyte imbalances, and myelosuppression.",Cisplatin is used across various age groups but is most commonly administered to adults aged 1865.,"Cancer affects both genders, but some types treated with Cisplatin, like testicular cancer, predominantly affect males.",Small molecule chemotherapy agent.,252992000,250756000,248520000,246284000,244048000,74548143654,101186680.3,74329207500,100294877.3,71205608596,99403029.6,68410511917,98511137.16
